name,latitude,longitude,empty_slots,free_bikes
Windsor St / Newcastle St,43.6171635,-79.4971065,28,2
Royal York Rd / Mimico Ave,43.612063,-79.496573,2,16
Berry Rd / Bell Manor Dr,43.63732,-79.489083,6,12
Humber College,43.5961692,-79.5160575,14,13
Amos Waites Park,43.613606,-79.4883535,3,24
Priscilla  Ave / Dundas St W,43.664665,-79.489385,14,9
Durie St / Dundas St W,43.665523,-79.484892,21,1
St Clair Ave W / Castleton Ave,43.668496,-79.485426,11,7
Weston Lions Park,43.698841,-79.519472,25,1
Annette St / Jane St,43.658574,-79.487246,10,5
Jameson Ave / Queen St W,43.63985,-79.43703,7,18
Carlaw Ave / Dundas St E,43.665076,-79.341509,1,1
Toronto Inukshuk Park,43.6323994,-79.40978179999999,10,37
Cosburn Ave / Durant Ave,43.6935477,-79.3301658,13,2
Swansea Community Centre,43.6438036,-79.4770327,10,4
Bellwoods Ave / Treford Pl - SMART,43.65246,-79.413528,0,19
Bayview Ave / Lawren Harris Square,43.6548521,-79.35397680000001,0,15
The Queensway / High St,43.630874,-79.482407,1,21
Symington Ave / Davenport Rd,43.6704403,-79.45328549999999,11,2
Front St E / Bayview Avenue,43.6535,-79.354068,1,21
Oak St / Sumach St,43.6617908,-79.361515,0,26
The Esplanade / Hahn Pl,43.649709,-79.364184,1,16
439 Sherbourne St,43.666051,-79.374161,15,31
Glebe Rd W / Yonge St,43.7005976,-79.397345,5,14
Hillsdale Ave W / Yonge St,43.7029672,-79.3979073,14,1
Alvin Ave / St Clair Ave E,43.68871,-79.39264,17,1
Eglinton Ave W / Scarlett Rd,43.6834703,-79.5108942,19,3
The Pond Rd / Sentinel Rd,43.7696262,-79.5025943,26,1
Sentinel Rd / Finch Corridor Trail,43.7641485,-79.5012809,25,0
Finch West Subway Station,43.76521,-79.491281,22,1
Dufferin St / Finch Corridor Trail,43.7724019,-79.4675395,17,2
G Ross Lord Park,43.7781116,-79.467963,13,6
Elwood Blvd / Avenue Rd,43.707049,-79.40966,23,0
Roehampton Ave / Bayview Ave,43.711751,-79.378615,17,10
Teddington Park Ave,43.732975,-79.40401,8,7
Ursula Franklin St / Huron St - SMART,43.660274,-79.398049,10,10
Woodbine Ave / O'Connor Dr,43.699281,-79.318802,7,12
Dawes Rd / Taylor Creek Trl,43.696631,-79.297436,3,16
Queen St W / John St,43.650077,-79.391291,18,2
Fairmount Park,43.6765897,-79.3163022,11,8
Richmond St W / York St,43.650745,-79.383633,16,0
Sunnybrook Park,43.720233,-79.362092,18,6
Vaughan Rd / Oakwood Ave,43.6926825,-79.441042,18,1
Braemar Ave / Eglinton Ave W,43.7041957,-79.4094472,12,2
Eglinton Ave E / Redpath Ave,43.7078691,-79.39248,8,7
Marie Curtis Park,43.5880774,-79.5432067,2,20
Guildwood GO Station (South),43.754978,-79.1971289,7,3
Chorley Park - SMART,43.6856,-79.3718,19,1
Cherry Beach,43.637764,-79.345359,47,1
Spadina Ave / Harbord St - SMART,43.6629228,-79.4018451,30,6
Ursula Franklin St / St. George St - SMART,43.660296,-79.397107,16,0
Rouge Hill GO Station,43.7805505,-79.1301203,24,1
Colonel Danforth Park,43.7777114,-79.1659711,10,8
Morningside Park (Highland Creek Trail),43.779353,-79.193023,16,6
Livingston Rd / Guildwood Pkwy,43.747854,-79.199327,8,11
Livingston Rd (Highland Creek Trail),43.7561681,-79.2026694,8,8
Twelfth St / Thirteenth St,43.6002896,-79.5108692,1,20
Florence Gell Park,43.6615467,-79.498398,1,13
