name,latitude,longitude,empty_slots,free_bikes
Bay St / College St (West Side) - SMART,43.660087,-79.385655,5,7
Superior Ave / Lake Shore Blvd W,43.6146692,-79.4873148,0,16
Humber Bay Shores Park / Marine Parade Dr,43.626265,-79.476723,2,27
Lake Shore Blvd W / Colborne Lodge Dr,43.63771,-79.458173,6,18
Ripley Ave / Ormskirk Ave,43.6390437,-79.4760109,0,22
St Clarens Ave / Shirley St,43.6486599,-79.4376413,6,7
Lisgar Park,43.6423847,-79.4240277,1,21
Bartlett Parkette,43.6702236,-79.4360232,10,10
Sherbourne St N / Elm Ave,43.6752732,-79.3778458,2,17
Walnut Ave / Queen St W,43.645469,-79.411084,1,15
Vaughan Rd /Wychwood Ave,43.6882821,-79.4253856,14,4
Palmerston Ave / Dundas St W,43.651603,-79.408346,3,20
541 Huron St - SMART,43.670206,-79.402643,11,8
Euclid Ave / Herrick St - SMART,43.661559,-79.413845,14,2
Baldwin St / Henry St,43.6560758,-79.393259,9,6
Orde St / McCaul St,43.6580442,-79.3927404,15,0
Ross St / Cecil St - SMART,43.6568254,-79.3966159,10,8
Lake Shore Blvd W / Thirty Ninth Street,43.5927419,-79.54033009999999,4,13
Lake Shore Blvd W / Twenty Fourth St,43.597082,-79.522768,0,19
Windsor St / Newcastle St,43.6171635,-79.4971065,28,2
Royal York Rd / Mimico Ave,43.612063,-79.496573,2,16
Berry Rd / Bell Manor Dr,43.63732,-79.489083,6,13
Humber College,43.5961692,-79.5160575,14,13
Amos Waites Park,43.613606,-79.4883535,0,26
Priscilla  Ave / Dundas St W,43.664665,-79.489385,12,11
Durie St / Dundas St W,43.665523,-79.484892,16,7
St Clair Ave W / Castleton Ave,43.668496,-79.485426,10,7
Weston Lions Park,43.698841,-79.519472,25,1
Annette St / Jane St,43.658574,-79.487246,9,6
Jameson Ave / Queen St W,43.63985,-79.43703,1,26
Carlaw Ave / Dundas St E,43.665076,-79.341509,1,1
Toronto Inukshuk Park,43.6323994,-79.40978179999999,16,29
Cosburn Ave / Durant Ave,43.6935477,-79.3301658,14,1
Swansea Community Centre,43.6438036,-79.4770327,11,3
Bellwoods Ave / Treford Pl - SMART,43.65246,-79.413528,4,15
Bayview Ave / Lawren Harris Square,43.6548521,-79.35397680000001,0,15
The Queensway / High St,43.630874,-79.482407,2,20
Symington Ave / Davenport Rd,43.6704403,-79.45328549999999,10,2
Front St E / Bayview Avenue,43.6535,-79.354068,0,22
Oak St / Sumach St,43.6617908,-79.361515,8,18
The Esplanade / Hahn Pl,43.649709,-79.364184,12,7
439 Sherbourne St,43.666051,-79.374161,16,30
Glebe Rd W / Yonge St,43.7005976,-79.397345,17,2
Hillsdale Ave W / Yonge St,43.7029672,-79.3979073,7,8
Alvin Ave / St Clair Ave E,43.68871,-79.39264,17,1
Eglinton Ave W / Scarlett Rd,43.6834703,-79.5108942,21,1
The Pond Rd / Sentinel Rd,43.7696262,-79.5025943,24,3
Sentinel Rd / Finch Corridor Trail,43.7641485,-79.5012809,22,3
Finch West Subway Station,43.76521,-79.491281,22,1
Dufferin St / Finch Corridor Trail,43.7724019,-79.4675395,17,2
G Ross Lord Park,43.7781116,-79.467963,14,5
Elwood Blvd / Avenue Rd,43.707049,-79.40966,22,1
Roehampton Ave / Bayview Ave,43.711751,-79.378615,16,11
Teddington Park Ave,43.732975,-79.40401,9,6
Ursula Franklin St / Huron St - SMART,43.660274,-79.398049,19,1
Woodbine Ave / O'Connor Dr,43.699281,-79.318802,10,9
Dawes Rd / Taylor Creek Trl,43.696631,-79.297436,5,14
Queen St W / John St,43.650077,-79.391291,10,12
Fairmount Park,43.6765897,-79.3163022,14,5
Richmond St W / York St,43.650745,-79.383633,15,2
Sunnybrook Park,43.720233,-79.362092,18,6
Vaughan Rd / Oakwood Ave,43.6926825,-79.441042,19,0
Braemar Ave / Eglinton Ave W,43.7041957,-79.4094472,13,1
Eglinton Ave E / Redpath Ave,43.7078691,-79.39248,11,3
Marie Curtis Park,43.5880774,-79.5432067,5,17
Guildwood GO Station (South),43.754978,-79.1971289,6,4
Chorley Park - SMART,43.6856,-79.3718,18,2
Cherry Beach,43.637764,-79.345359,38,10
Spadina Ave / Harbord St - SMART,43.6629228,-79.4018451,30,5
Ursula Franklin St / St. George St - SMART,43.660296,-79.397107,15,1
Rouge Hill GO Station,43.7805505,-79.1301203,25,0
Colonel Danforth Park,43.7777114,-79.1659711,10,8
Morningside Park (Highland Creek Trail),43.779353,-79.193023,17,5
Livingston Rd / Guildwood Pkwy,43.747854,-79.199327,9,10
Livingston Rd (Highland Creek Trail),43.7561681,-79.2026694,7,9
Twelfth St / Thirteenth St,43.6002896,-79.5108692,0,22
Florence Gell Park,43.6615467,-79.498398,0,15
Wallace Ave / Pauline Ave,43.6632257,-79.4397052,3,13
Kingston Rd / Beech Ave,43.680095,-79.291714,11,4
Victoria Park Ave / Danforth Ave,43.691468,-79.288619,13,6
Union Station,43.645609,-79.380386,39,4
Hayter St / La Plante Ave,43.6591666666667,-79.3855555555556,5,16
Seaton St / Dundas St E - SMART,43.658777,-79.369596,21,10
Lundy Ave / Étienne Brûlé Park,43.6625395,-79.5030161,0,14
